signal,weighting,mean_ic,ic_std,ic_tstat_nw,ic_ir,n_periods,ann_return_gross,ann_return_net,ann_vol,sharpe_gross,sharpe_net,max_drawdown_net,avg_turnover,n_days,alpha_annual,alpha_tstat
mom_12_1,decile,0.0051689185387860425,0.211788726930431,0.37444936517447763,0.024406013548039052,166,0.016366782199812004,0.002761769534177597,0.23352508360847632,0.0700850653387913,0.011826436336097954,-0.6436480435210133,1.061180541057893,3501,-0.03331096337532766,-1.2055116872617249
mom_12_1,rank,0.0051689185387860425,0.211788726930431,0.37444936517447763,0.024406013548039052,166,0.0037475589050420762,-0.005439113666396266,0.14690275050283316,0.025510301863570166,-0.03702526772152825,-0.46859135907027494,0.7201618314066497,3501,-0.027719542514987875,-1.6048484096915485
st_reversal,decile,0.007807225149817661,0.17411313225009353,0.774869138323044,0.044839955774292076,177,0.013484698899244234,-0.02818005688738401,0.17560131375422602,0.07699847133064766,-0.16047748325405586,-0.5118689285072127,3.4418400102084763,3735,-0.034926132690291656,-0.8742401420749079
st_reversal,rank,0.007807225149817661,0.17411313225009353,0.774869138323044,0.044839955774292076,177,0.02191692625668234,-0.009773604251329228,0.11372248867304553,0.1935028801956775,-0.08594258150143495,-0.27586785592307617,2.620549635084285,3735,-0.014791331259946545,-0.5683408828548364
low_volatility,decile,0.004995327202386036,0.2599468432927098,0.2832152394683445,0.01921672577020338,175,-0.028423937952330627,-0.04057606561931631,0.25609551187025004,-0.11098915526139166,-0.15844114300555978,-0.7628222087522113,0.9999449563237246,3691,0.002632554949720109,0.0677796472527935
low_volatility,rank,0.004995327202386036,0.2599468432927098,0.2832152394683445,0.01921672577020338,175,-0.015550546579944024,-0.023311457576865417,0.16153754412045362,-0.09626130047238725,-0.1443098426671807,-0.5355895403415345,0.6426261571789438,3691,0.005000167546777383,0.20479414310263377
low_idio_vol,decile,0.007181052613071454,0.19574375239313047,0.514533859764782,0.03668598627173079,175,-0.022905235467998164,-0.03630558973077408,0.2018415701876992,-0.11347406558470631,-0.17987171669845964,-0.7058654301496119,1.1015147174582431,3691,-0.02372885817511637,-0.703956821039113
low_idio_vol,rank,0.007181052613071454,0.19574375239313047,0.514533859764782,0.03668598627173079,175,-0.00979045928498661,-0.018458176633889885,0.12684726241844918,-0.07717217923929565,-0.14551497826574503,-0.44673219252307816,0.7164141255467806,3691,-0.007418176921157434,-0.3608731791971681
near_52w_high,decile,0.002460257862463937,0.23617701167499738,0.1616774123368966,0.010417008179650829,167,-0.025621584375503357,-0.049028333367752114,0.24758728484979217,-0.10346485931083856,-0.1980244397344433,-0.7883056625068888,1.8280238801081976,3521,-0.04277836194751971,-1.2326865830870897
near_52w_high,rank,0.002460257862463937,0.23617701167499738,0.1616774123368966,0.010417008179650829,167,-0.008746340136878441,-0.022730385525427783,0.15782442812528097,-0.055409490390506834,-0.14402324022605936,-0.5687491635997561,1.0966010540802964,3521,-0.02006956077814323,-0.9268034780407675
illiquidity,decile,-0.005977473522377335,0.10447204283980858,-0.8431632727081643,-0.05721601071343889,177,-0.01456370405112441,-0.023731206290137974,0.11154385339869931,-0.1305975329882246,-0.2127522545353871,-0.5423921435320465,0.7659748867441727,3735,-0.007273142589399328,-0.3257125742086367
illiquidity,rank,-0.005977473522377335,0.10447204283980858,-0.8431632727081643,-0.05721601071343889,177,-0.0088778084480191,-0.01490936425035873,0.06688625524532359,-0.1327354460547518,-0.22290624876029572,-0.35610192943752317,0.507757074994235,3735,-0.00487215528455684,-0.36408222656287925
