method,oos_sharpe_net,oos_ann_return,oos_ann_vol,oos_max_drawdown,oos_n_days
mean_variance,0.6461118787107453,0.04143470957361336,0.06412931094269987,-0.1485668680466612,3250
equal_weight,-0.5235355269819307,-0.0577870438175623,0.11037845731442933,-0.5986482837151784,3250
learned_linucb,-0.8657473792389134,-0.16750653938682086,0.19348200572559332,-0.9189671932027897,3250
