slice,sharpe_net,n_days
pre_2020,1.274168206191543,2478
post_2020,-0.19525447977796948,1236
cost_0.0bps,0.6087533982943798,3735
cost_5.0bps,0.5707142174913152,3735
cost_10.0bps,0.532621541377192,3735
cost_20.0bps,0.4563315490171673,3735
